Results Overview
PNS index:,-1.5694,-1.5346,-1.5209,-1.5085,-1.4887,-1.5113,-1.4991,-1.5445,-1.5525,-1.5301,-1.5190,-1.5233,-1.4200,-1.3158,-1.3125,-1.3142,-1.3139,-1.4057,-1.5227,-1.5468,-1.5859,-1.6005,-1.6329,-1.5780,-1.6038,-1.5519,-1.5430,-1.4389,-1.4904,-1.4908,-1.5170,-1.5078,-1.5362,-1.4976,-1.4750,-1.4867,-1.4831,-1.4820,-1.5268,-1.5442,-1.5572
SNS index:,1.8222,1.9490,1.7506,1.7878,1.7959,1.6517,1.7980,1.7039,1.8361,1.5198,1.5063,1.5852,2.2076,2.0110,1.9885,1.9472,2.0334,2.0033,1.7934,1.6610,2.2368,2.4359,2.6741,2.6965,2.7858,2.2429,1.8185,2.2397,2.5927,2.5772,2.5354,2.6025,1.3178,1.3351,1.2614,1.2517,1.2464,1.6704,1.9175,1.7059,1.8518
Stress index:,16.0398,17.3964,16.0772,16.2879,16.4426,15.4650,16.5018,15.5770,16.5422,14.6277,14.5686,14.9135,19.5711,18.7377,18.5876,18.3329,18.9316,18.3290,16.4814,15.4645,18.8204,20.0602,21.2923,21.6845,22.1462,19.1206,16.4480,19.8636,21.9163,21.7767,21.3136,21.8349,13.0217,13.2781,12.9089,12.7183,12.6272,15.6163,17.0640,15.7512,16.6901
Time-Domain Results
Statistical parameters
Mean RR (ms):,790.1702,802.9612,804.8485,804.3673,806.7285,805.3441,806.7984,797.4229,798.2253,801.0401,800.8120,800.3356,813.7474,823.8857,823.9253,824.9582,824.1972,814.9402,805.0094,801.3280,792.1944,790.6816,782.9948,786.6458,784.2859,794.3524,797.5005,815.1391,810.4324,808.9690,806.6895,807.4691,797.2783,800.4784,802.7337,799.3198,798.3878,803.5536,800.5040,801.9385,802.0252
SDNN (ms):,20.2326,17.6096,20.8210,22.1270,22.4188,21.1490,20.5067,19.3081,16.6558,17.0173,17.0647,20.1735,19.6208,21.9108,22.2603,22.5014,21.0654,19.5381,17.6121,17.6473,17.6656,16.7176,16.7268,17.0788,16.4743,15.5452,16.4926,17.3182,16.3274,16.4002,17.6815,16.7418,21.5916,22.7263,23.0988,23.3662,24.4452,21.2521,19.7331,18.2197,17.3950
Mean HR (beats/min):,75.9330,74.7234,74.5482,74.5928,74.3745,74.5023,74.3680,75.2424,75.1667,74.9026,74.9240,74.9686,73.7330,72.8256,72.8221,72.7310,72.7981,73.6250,74.5333,74.8757,75.7390,75.8839,76.6289,76.2732,76.5027,75.5332,75.2351,73.6071,74.0345,74.1685,74.3781,74.3063,75.2560,74.9552,74.7446,75.0638,75.1515,74.6683,74.9528,74.8187,74.8106
SD HR (beats/min):,1.9571,1.6446,1.9489,2.0840,2.0950,1.9792,1.9165,1.8357,1.5675,1.6070,1.6121,1.9149,1.8069,1.9651,1.9832,2.0002,1.8778,1.7770,1.6510,1.6704,1.7080,1.6102,1.6469,1.6491,1.6007,1.4759,1.5620,1.5694,1.5036,1.5168,1.6443,1.5444,2.0238,2.1087,2.1292,2.1794,2.2917,1.9774,1.8558,1.7104,1.6314
Min HR (beats/min):,70.2741,70.2741,69.4123,69.4123,66.7705,66.7705,66.7705,66.7705,66.7705,68.0426,68.0426,68.0426,66.7482,65.3737,65.3737,65.3737,65.3737,65.3737,68.4853,69.7593,69.7593,69.7918,69.7918,68.3839,68.3839,68.3839,68.3839,67.4916,67.4916,67.4916,67.4916,67.4916,66.6149,66.6149,66.6149,66.6149,66.6149,66.6371,66.6371,66.6371,66.6371
Max HR (beats/min):,90.1442,79.6073,81.4222,82.5537,82.5537,82.5537,82.5537,82.5650,82.5650,82.5650,82.5650,85.4823,85.4823,85.4823,85.4823,85.4823,82.9761,82.9761,82.9761,82.9761,83.6353,83.6353,84.3052,84.3052,84.3052,84.3052,84.3052,83.0220,85.0822,85.3485,85.3485,85.3485,85.3485,85.3485,84.6262,84.6262,84.6262,82.6788,82.6788,82.6788,82.9417
RMSSD (ms):,10.8083,9.6992,10.5552,11.1571,11.4240,10.7948,10.7758,10.4268,9.5098,9.8019,10.0394,10.7997,11.5679,13.4121,13.5664,13.4774,13.2071,11.7315,9.7518,9.6099,9.6582,9.2598,9.3024,10.1487,9.6869,9.5382,9.7150,10.4323,9.5580,9.6991,9.7303,9.5961,11.1386,11.9145,12.2693,12.3917,12.8070,11.6184,10.6057,9.7528,9.2742
NNxx (beats):,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0
pNNxx (%):,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2717,0.5495,0.5510,0.5510,0.5510,0.2725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5319,0.5348,0.5362,0.5348,0.5348,0.0000,0.0000,0.0000,0.0000
SDANN (ms):,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDNN index (ms):,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Geometric parameters
RR tri index:,5.414286,5.194444,6.114754,6.431034,6.098361,5.239437,4.650000,5.222222,4.746835,4.857143,4.807692,5.194444,5.426471,6.083333,5.967213,6.275862,5.870968,5.111111,4.769231,5.000000,4.784810,4.470588,3.908163,4.340909,3.979167,3.500000,3.957895,4.717949,4.404762,4.469880,5.314286,4.650000,5.712121,6.147541,6.338983,6.465517,6.818182,6.016129,4.857143,4.400000,4.109890
TINN (ms):,104.0000,89.0000,107.0000,108.0000,111.0000,107.0000,106.0000,110.0000,100.0000,106.0000,106.0000,110.0000,99.0000,109.0000,110.0000,113.0000,108.0000,105.0000,99.0000,98.0000,97.0000,90.0000,89.0000,86.0000,84.0000,82.0000,93.0000,96.0000,79.0000,82.0000,86.0000,80.0000,139.0000,142.0000,143.0000,144.0000,148.0000,107.0000,101.0000,98.0000,89.0000
DC (ms):,12.1183,8.6500,10.0668,12.6024,12.6641,10.7173,11.3019,11.6394,9.0587,9.9703,11.4754,13.4446,13.4494,16.9475,15.9234,16.2917,14.9402,12.7949,10.7190,10.6853,10.8935,10.4973,10.1555,10.6780,10.6493,10.1392,10.6002,10.7944,10.3649,9.9500,10.5982,9.8009,11.1985,13.4070,16.0751,14.9913,17.5077,18.3703,14.4314,12.1856,10.3282
DCmod (ms):,10.8444,8.8424,9.7140,11.4370,11.5416,10.6172,10.9027,11.0674,9.4894,10.1744,10.9972,12.6680,12.9368,15.0139,14.3362,14.1382,12.7368,10.7524,9.4628,9.6433,9.8540,9.8758,9.6515,10.6516,10.0547,9.9804,10.1931,10.6057,9.7686,9.5655,9.7108,9.4485,10.2913,11.5957,13.2857,12.6267,14.2076,14.3153,12.1403,10.9161,9.7610
AC (ms):,-11.7285,-9.7864,-11.5978,-12.0054,-12.2245,-11.4811,-11.1343,-10.2453,-8.8332,-9.7065,-10.3610,-11.2725,-11.8089,-14.3487,-13.7656,-13.7765,-13.2177,-11.3203,-10.4860,-9.0820,-8.8154,-8.8643,-8.9875,-9.9463,-10.7537,-10.7806,-10.2511,-11.1825,-9.8195,-9.5204,-9.3377,-9.8426,-11.0443,-13.5145,-15.3612,-15.7266,-17.0277,-15.6351,-12.0374,-10.1074,-8.7202
ACmod (ms):,-10.5975,-9.7002,-10.6351,-10.9947,-11.2506,-11.0672,-10.8195,-10.4140,-9.2276,-9.6020,-9.8597,-10.5596,-11.3086,-13.3600,-12.9883,-12.9869,-12.5084,-10.5520,-9.7977,-9.0958,-9.0148,-9.1819,-9.2521,-10.0356,-10.1750,-10.3143,-9.7907,-10.6147,-9.7261,-9.6554,-9.6149,-10.1339,-11.0513,-12.3319,-13.2856,-13.3859,-14.2009,-12.8330,-10.7606,-9.6295,-8.5795
Nonlinear Results
Poincare plot
SD1 (ms):,7.652811,6.867627,7.474229,7.900275,8.088897,7.643619,7.629964,7.382685,6.733533,6.940350,7.109071,7.646907,8.190940,9.496855,9.606298,9.543514,9.351700,8.306732,6.904899,6.804402,6.838506,6.556329,6.586442,7.185907,6.858736,6.753496,6.878688,7.386835,6.767714,6.867623,6.889688,6.794693,7.886691,8.436089,8.687393,8.774024,9.068087,8.226541,7.509406,6.905585,6.566683
SD2 (ms):,27.597291,23.962606,28.415437,30.277520,30.691161,28.929491,28.009256,26.320866,22.586679,23.070612,23.021898,27.509753,26.545588,29.531609,30.006930,30.348229,28.325992,26.380969,23.947749,24.018697,24.055999,22.745190,22.726435,23.059594,22.293045,20.945804,22.316972,23.384021,22.093396,22.179457,24.041842,22.707738,29.531262,31.057509,31.529943,31.787435,33.386351,28.913384,26.897245,24.851419,23.688096
SD2/SD1 ratio:,3.606164,3.489212,3.801788,3.832464,3.794233,3.784790,3.670955,3.565216,3.354358,3.324128,3.238384,3.597500,3.240847,3.109620,3.123673,3.179985,3.028967,3.175854,3.468226,3.529876,3.517727,3.469196,3.450487,3.209002,3.250314,3.101476,3.244365,3.165634,3.264529,3.229568,3.489540,3.341982,3.744442,3.681505,3.629391,3.622902,3.681741,3.514646,3.581807,3.598742,3.607315
Approximate entropy (ApEn):,0.9958,1.0231,1.0030,0.9566,0.9420,1.0103,1.0058,1.0105,1.0947,1.1278,1.1137,1.0369,1.0786,1.0060,0.9767,0.9362,0.8994,0.8922,0.9859,1.0280,1.0068,1.0307,1.0081,0.9741,0.9674,1.0230,1.0534,1.0752,1.1567,1.1501,1.0729,1.0834,0.9614,0.9482,0.9803,0.9678,1.0064,1.0119,0.9736,1.0151,1.0082
Sample entropy (SampEn):,1.2521,1.2626,1.1885,1.1586,1.1534,1.2465,1.2512,1.2627,1.3890,1.4028,1.3908,1.2433,1.3416,1.2752,1.2290,1.1693,1.1372,1.1022,1.2369,1.2938,1.2489,1.2626,1.2122,1.1422,1.1641,1.2221,1.2523,1.3583,1.4521,1.4360,1.3560,1.4233,1.1473,1.1068,1.1368,1.1405,1.1657,1.2276,1.1707,1.2310,1.2044
Detrended fluctuation analysis (DFA)
alpha 1:,1.5761,1.6243,1.6370,1.5438,1.5659,1.6959,1.5218,1.6393,1.5777,1.5009,1.4718,1.6102,1.5605,1.5761,1.2881,1.5346,1.4073,1.5134,1.5918,1.5746,1.5595,1.5116,1.6207,1.5085,1.5129,1.3599,1.4680,1.4040,1.4170,1.4669,1.4995,1.4902,1.5073,1.4365,1.5642,1.6267,1.4885,1.5847,1.5854,1.5468,1.4925
alpha 2:,0.3348,0.4009,0.3996,0.5070,0.5097,0.5669,0.5351,0.4199,0.3505,0.4450,0.4226,0.4411,0.4361,0.3838,0.3576,0.3948,0.3007,0.3036,0.3574,0.4658,0.5441,0.4804,0.4715,0.4865,0.4705,0.4987,0.5100,0.4662,0.4904,0.5683,0.5076,0.5013,0.4933,0.5505,0.5325,0.5145,0.5694,0.4521,0.5112,0.5731,0.5973
Correlation dimension (D2):,0.2112,0.1121,0.1927,0.2913,0.3022,0.2454,0.2258,0.1639,0.0824,0.1137,0.1116,0.2137,0.1889,0.2841,0.3113,0.3143,0.2615,0.2030,0.1254,0.1168,0.1167,0.0796,0.0768,0.0884,0.0727,0.0587,0.0849,0.0978,0.0623,0.0738,0.0956,0.0688,0.2181,0.2903,0.2983,0.2876,0.3774,0.2415,0.1837,0.1418,0.1180
Recurrence plot analysis (RPA)
Mean line length (beats):,11.1300,10.1403,13.7095,12.4547,11.9240,11.9359,13.8921,13.1326,13.7649,13.1617,13.5311,12.8787,12.5184,13.8693,13.1515,12.6883,12.6909,13.5060,12.2599,11.2337,10.4396,10.2620,11.3968,9.7901,10.3712,11.8351,11.3429,10.1019,9.0390,9.3622,9.4570,9.0715,14.2028,13.0907,11.7050,13.9852,11.5335,9.8237,10.6635,11.0099,11.2322
Max line length (beats):,335,177,357,284,209,224,299,309,231,157,136,346,350,275,202,161,121,127,199,274,352,192,256,350,275,197,235,306,360,311,238,190,305,229,198,274,348,216,218,177,253
