Time, Beats total,Beats corrected,Beats corrected,Effective data length,Effective data length,PNS index,   SNS index,Stress index, EE activity, EE activity,Intensity,        Load,Mean RR,        SDNN,     Mean HR,       SD HR,      Min HR,      Max HR,       RMSSD,        NNxx,       pNNxx,       HRVti,        TINN,          DC,       DCmod,          AC,       ACmod,    VLF peak,     LF peak,     HF peak,   VLF power,    LF power,    HF power,   VLF power,    LF power,    HF power,   VLF power,    LF power,    HF power,    LF power,    HF power, LF/HF ratio,        RESP,         SD1,         SD2,     SD2/SD1,        ApEn,      SampEn,      DFA a1,      DFA a2,
11:50:51,         379,           0,      0.0000,         300,    100.0000,     -1.5694,      1.8222,     16.0398,      3.1244,      3.1244,      0.1187,      0.1187,    790.1702,     20.2326,     75.9330,      1.9571,     70.2741,    442.4779,     10.8083,           0,      0.0000,      5.4143,    104.0000,     12.1183,     10.8444,    -11.7285,    -10.5975,    0.033333,    0.086667,    0.176667,     27.5339,    244.1538,     17.5392,      3.3154,      5.4978,      2.8644,      9.6102,     85.2171,      6.1217,     94.2773,      6.7726,     13.9205,      0.2292,      7.6528,     27.5973,      3.6062,      0.9958,      1.2521,      1.5761,      0.3348,
11:51:51,         374,           0,      0.0000,         300,    100.0000,     -1.5346,      1.9490,     17.3964,      2.9993,      6.1238,      0.1109,      0.2296,    802.9612,     17.6096,     74.7234,      1.6446,     70.2741,     79.6073,      9.6992,           0,      0.0000,      5.1944,     89.0000,      8.6500,      8.8424,     -9.7864,     -9.7002,    0.033333,    0.120000,    0.150000,     17.6044,    280.2253,     20.0963,      2.8681,      5.6356,      3.0005,      5.6303,     89.6227,      6.4273,     94.9698,      6.8107,     13.9441,      0.2411,      6.8676,     23.9626,      3.4892,      1.0231,      1.2626,      1.6243,      0.4009,
11:52:51,         373,           0,      0.0000,         300,    100.0000,     -1.5209,      1.7506,     16.0772,      3.0527,      9.1764,      0.1142,      0.3439,    804.8485,     20.8210,     74.5482,      1.9489,     69.4123,     81.4222,     10.5552,           0,      0.0000,      6.1148,    107.0000,     10.0668,      9.7140,    -11.5978,    -10.6351,    0.040000,    0.110000,    0.150000,     29.1763,    335.9075,     21.9170,      3.3734,      5.8168,      3.0873,      7.7616,     89.3599,      5.8305,     96.8793,      6.3211,     15.3263,      0.2538,      7.4742,     28.4154,      3.8018,      1.0030,      1.1885,      1.6370,      0.3996,
11:53:51,         373,           0,      0.0000,         300,    100.0000,     -1.5085,      1.7878,     16.2879,      2.6724,     11.8488,      0.0914,      0.4353,    804.3673,     22.1270,     74.5928,      2.0840,     69.4123,     82.5537,     11.1571,           0,      0.0000,      6.4310,    108.0000,     12.6024,     11.4370,    -12.0054,    -10.9947,    0.033333,    0.043333,    0.150000,     57.6562,    308.5548,     21.2557,      4.0545,      5.7319,      3.0566,     15.3444,     82.1178,      5.6569,     97.0022,      6.6823,     14.5164,      0.2581,      7.9003,     30.2775,      3.8325,      0.9566,      1.1586,      1.5438,      0.5070,
11:54:51,         372,           0,      0.0000,         300,    100.0000,     -1.4887,      1.7959,     16.4426,      2.7248,     14.5737,      0.0945,      0.5297,    806.7285,     22.4188,     74.3745,      2.0950,     66.7705,     82.5537,     11.4240,           0,      0.0000,      6.0984,    111.0000,     12.6641,     11.5416,    -12.2245,    -11.2506,    0.033333,    0.043333,    0.153333,    125.0698,    529.9006,     33.0034,      4.8289,      6.2727,      3.4966,     18.9417,     80.2530,      4.9983,     99.0065,      6.1664,     16.0559,      0.2628,      8.0889,     30.6912,      3.7942,      0.9420,      1.1534,      1.5659,      0.5097,
11:55:51,         372,           0,      0.0000,         300,    100.0000,     -1.5113,      1.6517,     15.4650,      3.1862,     17.7598,      0.1227,      0.6524,    805.3441,     21.1490,     74.5023,      1.9792,     66.7705,     82.5537,     10.7948,           0,      0.0000,      5.2394,    107.0000,     10.7173,     10.6172,    -11.4811,    -11.0672,    0.033333,    0.046667,    0.153333,    125.8488,    526.4540,     40.5500,      4.8351,      6.2662,      3.7025,     18.5949,     77.7868,      5.9915,     95.5552,      7.3601,     12.9828,      0.2635,      7.6436,     28.9295,      3.7848,      1.0103,      1.2465,      1.6959,      0.5669,
11:56:51,         372,           0,      0.0000,         300,    100.0000,     -1.4991,      1.7980,     16.5018,      3.0342,     20.7941,      0.1131,      0.7655,    806.7984,     20.5067,     74.3680,      1.9165,     66.7705,     82.5537,     10.7758,           0,      0.0000,      4.6500,    106.0000,     11.3019,     10.9027,    -11.1343,    -10.8195,    0.030000,    0.103333,    0.153333,     50.7129,    253.9013,     28.4431,      3.9262,      5.5369,      3.3479,     15.1859,     76.0301,      8.5172,     89.6432,     10.0422,      8.9266,      0.2664,      7.6300,     28.0093,      3.6710,      1.0058,      1.2512,      1.5218,      0.5351,
11:57:51,         376,           0,      0.0000,         300,    100.0000,     -1.5445,      1.7039,     15.5770,      3.0969,     23.8910,      0.1170,      0.8825,    797.4229,     19.3081,     75.2424,      1.8357,     66.7705,     82.5650,     10.4268,           0,      0.0000,      5.2222,    110.0000,     11.6394,     11.0674,    -10.2453,    -10.4140,    0.030000,    0.096667,    0.253333,     18.6374,    154.4756,     21.4241,      2.9252,      5.0400,      3.0645,      9.5790,     79.3958,     11.0114,     87.8069,     12.1779,      7.2103,      0.2657,      7.3827,     26.3209,      3.5652,      1.0105,      1.2627,      1.6393,      0.4199,
11:58:51,         375,           0,      0.0000,         300,    100.0000,     -1.5525,      1.8361,     16.5422,      3.0438,     26.9347,      0.1137,      0.9961,    798.2253,     16.6558,     75.1667,      1.5675,     66.7705,     82.5650,      9.5098,           0,      0.0000,      4.7468,    100.0000,      9.0587,      9.4894,     -8.8332,     -9.2276,    0.030000,    0.110000,    0.163333,     17.4755,    233.2013,     21.4394,      2.8608,      5.4519,      3.0652,      6.5083,     86.8498,      7.9845,     92.8958,      8.5404,     10.8772,      0.2681,      6.7335,     22.5867,      3.3544,      1.0947,      1.3890,      1.5777,      0.3505,
11:59:51,         374,           0,      0.0000,         300,    100.0000,     -1.5301,      1.5198,     14.6277,      3.7551,     30.6899,      0.1613,      1.1574,    801.0401,     17.0173,     74.9026,      1.6070,     68.0426,     82.5650,      9.8019,           0,      0.0000,      4.8571,    106.0000,      9.9703,     10.1744,     -9.7065,     -9.6020,    0.033333,    0.086667,    0.216667,     22.9049,    311.6533,     18.3139,      3.1313,      5.7419,      2.9077,      6.6028,     89.8398,      5.2793,     96.1911,      5.6525,     17.0173,      0.2675,      6.9403,     23.0706,      3.3241,      1.1278,      1.4028,      1.5009,      0.4450,
